zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce
-281.0885,-72.91637,-703514,3,20.0,10.0,1162.474,5,0,4.562005999999999,6295,6.129537
-280.3896,-193.9557,-912982,3,33.0,16.47662,899.7285,8,0,7.3655,1007,9.339463
-280.1802,-14.181,-913862,4,0.0,0.0,838.0838,1,0,0.0642663,6787,8.933539999999999
-279.5475,-195.8192,-676890,2,0.0,0.0515125,739.1389999999999,1,0,0.02302749,3781,9.460042
-279.1296,195.6676,-844342,2,0.0,3.509381,1466.44,3,0,1.568789,2257,4.851408999999999
-278.5551,73.25501,-843726,0,39.0,19.5,1693.725,5,0,8.748811,3966,5.0328349999999995
-277.6078,-195.6284,-671082,1,0.0,0.0,498.3818,8,0,0.02508638,4047,1.131522
-272.1925,15.401929999999998,-670290,1,10.0,5.0,579.3669,4,0,2.2860240000000003,1118,5.458315
-269.4388,13.455589999999999,-703690,2,10.0,10.0,1369.829,4,0,4.528278,5011,7.313003
-256.65,-256.9384,-906118,1,20.0,12.71455,580.5312,7,0,5.68375,5389,6.3220410000000005
-256.2582,160.7931,-912278,1,40.0,13.564670000000001,1018.9760000000001,8,0,6.063777,630,5.906255000000001
-255.8327,-249.4637,-912542,0,0.0,18.26281,1003.653,9,0,8.163972,3938,3.346447
-254.6825,72.39191,-637404,0,20.0,10.53249,789.8784,2,0,4.708312,1298,2.323268
-254.2871,107.8379,-844870,4,39.0,12.08799,1697.219,6,0,5.403662000000001,5900,2.8205720000000003
-254.1466,104.6283,-638988,2,20.0,10.0,734.9326,7,0,4.519791000000001,3437,6.234212
-253.9445,-76.38216,-910430,2,20.0,20.0,679.0963,8,0,8.962005,329,7.3341970000000005
-252.1161,122.35600000000001,-913070,1,42.0,12.90912,661.2275,2,0,5.770729,116,6.786944999999999
-250.5871,74.03135999999999,-708266,6,39.0,18.23099,2027.112,5,0,8.14975,3966,5.0328349999999995
-249.0116,-105.8105,-636436,0,10.0,5.0,806.2476,7,0,2.286436,6701,0.24503490000000003
-241.1334,135.1439,-640924,4,0.0,16.18846,1244.725,3,0,7.236681,5872,9.285295
-238.4014,72.99942,-640748,3,33.0,20.503989999999998,1151.858,3,0,9.165842999999999,7430,2.6840029999999997
-234.4976,-135.3934,-675306,1,36.0,18.0,1039.333,8,0,8.090717,5646,5.013028
-232.5275,14.66854,-704482,1,20.0,10.0,1133.8210000000001,9,0,4.521079,2105,5.804913
-232.3976,195.3594,-707826,0,20.0,10.0,1406.977,2,0,4.520199,3715,4.5735589999999995
-228.5256,76.48776,-908846,0,20.0,9.360233000000001,628.4088,6,0,4.184279,508,3.2206930000000003
-228.3662,-44.22101,-676802,2,31.0,13.59399,974.6317,1,0,6.0768830000000005,6787,8.933539999999999
-228.2224,171.3166,-672226,0,30.0,15.0,631.631,2,0,6.799128,3134,0.8500629999999999
-227.4764,-219.209,-911662,2,40.0,9.315575,890.9551,6,0,4.164316,3602,4.342715
-227.0848,209.2739,-676626,1,0.0,0.0,565.5705,8,0,0.06428331,652,7.344367
-226.1634,52.285990000000005,-670818,1,10.0,8.133434,690.8954,2,0,3.6358669999999997,282,0.2908893
-225.9775,-19.98545,-910782,0,20.0,10.0,515.9244,4,0,4.51757,3373,4.869832
-225.6195,195.5192,-675658,4,37.0,5.0470489999999995,877.4564,3,0,2.256169,3814,1.0289979999999999
-224.7798,-123.9442,-838798,1,20.0,9.999998,986.8661,4,0,4.527879,7020,0.9956384
-224.3457,97.33941999999999,-906910,4,20.0,11.29338,668.5424,4,0,5.0484480000000005,5011,7.313003
-224.058,216.8249,-639780,1,20.0,10.0,747.0387,4,0,4.520525,3373,4.869832
-223.8829,138.9851,-846630,3,37.0,8.550035000000001,1763.5079999999998,9,0,3.8220989999999997,5329,3.867268
-223.81900000000002,145.0676,-840382,8,30.0,10.887039999999999,947.6959,8,0,4.866804,4047,1.131522
-223.8027,100.7682,-708618,5,33.0,16.5,1997.461,1,0,7.410735000000001,6200,6.938941000000001
-222.7146,181.4403,-671346,0,30.0,15.0,619.8477,2,0,6.794542999999999,1298,2.323268
-220.7621,-106.24799999999999,-840646,2,20.0,9.999998,1000.095,2,0,4.510111,1298,2.323268
-216.9063,-75.45581,-907438,0,10.0,5.0,595.2308,7,0,2.297185,6701,0.24503490000000003
-204.4807,-193.16299999999998,-845574,2,33.0,16.5,1686.4229999999998,5,0,7.429726,7420,0.34236479999999997
-203.0671,-194.5712,-910694,1,20.0,10.0,694.7247,5,0,4.529185,6665,7.848414999999999
-201.2765,-74.35449,-637580,1,10.0,5.0,671.5141,7,0,2.286731,1497,5.038979
-196.6484,217.0852,-842670,0,20.0,10.09021,1246.558,8,0,4.510598,329,7.3341970000000005
-196.3613,-67.24965999999999,-907702,3,20.0,5.580698,570.4827,9,0,2.494724,2105,5.804913
-195.8288,21.62363,-673546,0,20.0,10.310989999999999,660.2287,4,0,4.609294,1290,5.488004
-195.3749,-209.9354,-843462,3,30.0,15.0,1403.01,1,0,6.752411,3692,8.432408
-194.9847,274.3073,-641980,0,33.0,16.27673,1174.883,8,0,7.276141,1007,9.339463
-194.8626,161.3858,-674778,3,33.0,10.22916,962.1114,1,0,4.5727150000000005,6200,6.938941000000001
-194.743,-74.34361,-913950,3,42.0,16.16806,969.9296,1,0,7.227566,3781,9.460042
-194.52200000000002,-273.1664,-639956,1,20.0,10.0,847.7796,6,0,4.52107,3964,3.858932
-194.4545,108.0626,-845398,5,34.0,9.675805,1661.433,1,0,4.325349,1048,8.625082
-194.1456,35.34176,-905854,0,20.0,10.0,630.2445,4,0,4.5191870000000005,2268,6.336945
-193.90099999999998,-81.9507,-841350,4,20.0,10.27186,1061.9769999999999,6,0,4.591803,5725,2.193673
