zAxisPos,xAxisPos,AgentID,collisions,topSpeed(mph),currentSpeed(mph),distanceOfTravel(meters),raycastLength,tractionControl,VelocityMagnitude(BETA),VehicleMass,Downforce,,50_60 AVG VELOCITY
-158.2277,-195.1696,-175442,0,30,15,1069.021,4,0,6.736808,682,5.080798,,
-155.5843,224.708,-175794,0,20,10,821.6494,2,0,4.517641,1298,2.323268,,
-149.6924,46.76987,-234262,0,20,10.48627,1041.196,8,0,4.687647,7336,7.434248,,
-145.4475,226.7343,-292828,0,20,10.11038,1188.816,8,0,4.519615,7336,7.434248,,
-144.1413,255.2796,-265176,0,39,19.5,1843.183,6,0,8.763316,7014,5.835563,,
-142.3623,-150.4553,-177026,1,35,4.11211,626.9877,2,0,1.838225,139,6.837638,,
-138.4712,317.1285,-293620,3,39,9.585985,1787.7,6,0,4.285197,5725,2.193673,,
-136.6416,-25.27875,-262624,0,20,10,1106.142,2,0,4.564535,977,2.548617,,
-136.5093,-219.4759,-264208,0,39,19.34451,1903.42,6,0,8.647525,508,3.220693,,
-136.1771,-65.51592,-264384,3,38,21.79147,1582.685,7,0,9.741382,2676,3.633125,,
-135.9756,252.5989,-231886,1,20,10,1068.438,2,0,4.523041,7485,6.154612,,
-135.8607,313.597,-203264,0,20,8.105655,1067.709,4,0,3.623449,7020,0.9956384,,
-135.348,175.912,-262536,0,10,5,1030.313,4,0,2.291123,4703,9.241696,,
-135.2029,-211.1425,-204496,0,20,10,1130.547,5,0,4.518549,937,8.544026,,
-135.1883,-118.385,-292916,0,20,10,1025.831,2,0,4.518024,1298,2.323268,,
-131.0541,-14.08722,-235318,0,43,21.5,1579.023,1,0,9.630334,2506,8.636484,,
-121.5909,-314.3887,-292124,0,20,10,1138.123,2,0,4.528547,7028,0.2382524,,
-109.4131,104.2335,-177290,2,42,20.48199,1515.201,4,0,9.156007,3483,8.860469,,
-108.7817,194.7171,-174474,0,10,8.629925,888.5082,4,0,3.857812,3187,1.346459,,
-105.6819,100.6113,-233558,0,20,10,1019.383,2,0,4.571396,7028,0.2382524,,
-105.0694,-2.745723,-235054,0,39,22.13833,1698.09,6,0,9.896439,5725,2.193673,,
-104.1202,334.5293,-290892,0,20,10,1096.669,3,0,4.5327,5870,0.502775,,
-103.5421,-159.3026,-206256,1,32,16,1517.24,8,0,7.184975,4098,7.105482,,
-100.3524,-195.793,-175530,0,10,7.489438,863.6207,8,0,3.347983,4047,1.131522,,
-99.33744,165.812,-290452,0,20,10,1164.341,2,0,4.512935,7485,6.154612,,
-98.86965,315.4348,-233294,0,20,10,974.5657,4,0,4.511737,1118,5.458315,,
-97.83508,46.02523,-173418,0,20,13.23954,958.1581,6,0,5.918433,7413,4.717373,,
-81.1599,-15.56949,-203880,1,20,10,1012.555,4,0,4.520339,4703,9.241696,,
-76.87988,306.0204,-261568,0,20,10,1103.221,7,0,4.571196,2499,2.785405,,
-75.67028,309.1884,-292476,2,20,10,1182.191,2,0,4.52084,1147,5.214017,,
-75.35593,-51.42817,-292388,0,20,10,1153.133,2,0,4.499788,282,0.2908893,,
-73.08399,290.4372,-206608,1,42,9.944841,1615.565,4,0,4.445615,3483,8.860469,,
-73.04714,12.90899,-264736,4,43,11.86023,1665.053,1,0,5.301847,2506,8.636484,,
-72.51992,-286.137,-291420,0,30,25.08142,1202.115,4,0,11.21208,5011,7.313003,,
-71.93909,155.5719,-264032,3,0,0,1583.811,6,0,0.0692884,2138,5.405807,,
